#V(V)             i (mA)
-5.02              -137.8
-4.81              -70.1
-4.61              -26.3
-4.40              -11.46
-4.20              -6.21
-4.03              -4.23
-3.53              -1.63
-3.04              -0.804
-1.99              -0.223
-1.00              -0.052
0                   0.000
0.100              0.002
0.202              0.011
0.296              0.040
0.351              0.077
0.401              0.125
0.450              0.196
0.505              0.295
0.547              0.393
0.598              0.547
0.650              0.776
0.700              1.167
0.743              2.19
0.850              41.0
